역명,날짜,광역_수송실적인원,ITX-청춘_수송실적인원
춘천,2018년 10월 07일,3670,3028
춘천,2018년 10월 08일,3577,2213
춘천,2018년 10월 09일,4798,2927
춘천,2018년 10월 10일,2772,1662
춘천,2018년 10월 11일,2952,1811
춘천,2018년 10월 12일,3544,2294
춘천,2018년 10월 13일,4669,3305
춘천,2018년 10월 14일,3986,3282
춘천,2018년 10월 15일,3065,1753
춘천,2018년 10월 16일,3090,2017
춘천,2018년 10월 17일,3036,1715
춘천,2018년 10월 18일,3238,1675
춘천,2018년 10월 19일,3788,2350
춘천,2018년 10월 20일,4920,3340
춘천,2018년 10월 21일,4608,3572
춘천,2018년 10월 22일,3088,1764
춘천,2018년 10월 23일,2856,1690
춘천,2018년 10월 24일,3144,1828
춘천,2018년 10월 25일,3610,1916
춘천,2018년 10월 26일,3113,2291
춘천,2018년 10월 27일,4642,3511
춘천,2018년 10월 28일,5407,4342
춘천,2018년 10월 29일,3151,1777
춘천,2018년 10월 30일,2984,1642
춘천,2018년 10월 31일,2854,1732
남춘천,2018년 11월 01일,4239,2409
남춘천,2018년 11월 02일,5859,3181
남춘천,2018년 11월 03일,5182,4165
남춘천,2018년 11월 04일,4213,3540
남춘천,2018년 11월 05일,3994,2300
남춘천,2018년 11월 06일,3658,2059
남춘천,2018년 11월 07일,4088,2191
남춘천,2018년 11월 08일,3773,2417
남춘천,2018년 11월 09일,4958,3150
남춘천,2018년 11월 10일,4942,4231
남춘천,2018년 11월 11일,3912,3596
남춘천,2018년 11월 12일,4465,2433
남춘천,2018년 11월 13일,3708,2192
남춘천,2018년 11월 14일,3660,2221
남춘천,2018년 11월 15일,4335,2603
남춘천,2018년 11월 16일,5149,3248
남춘천,2018년 11월 17일,5333,4289
남춘천,2018년 11월 18일,4022,3658
남춘천,2018년 11월 19일,3730,2370
남춘천,2018년 11월 20일,3632,2123
남춘천,2018년 11월 21일,3956,2562
남춘천,2018년 11월 22일,4425,2689
남춘천,2018년 11월 23일,4241,3159
남춘천,2018년 11월 24일,5281,4778
남춘천,2018년 11월 25일,3878,3755
남춘천,2018년 11월 26일,3847,2323
남춘천,2018년 11월 27일,4153,2257
남춘천,2018년 11월 28일,3417,2179
남춘천,2018년 11월 29일,4056,2551
남춘천,2018년 11월 30일,4811,3323
춘천,2018년 11월 01일,3096,1925
춘천,2018년 11월 02일,3999,2396
춘천,2018년 11월 03일,4759,3962
춘천,2018년 11월 04일,4059,3482
춘천,2018년 11월 05일,3063,1781
춘천,2018년 11월 06일,2821,1738
춘천,2018년 11월 07일,2549,1551
춘천,2018년 11월 08일,2486,1699
춘천,2018년 11월 09일,3426,2446
춘천,2018년 11월 10일,3685,3326
춘천,2018년 11월 11일,3204,3025
춘천,2018년 11월 12일,2689,1709
춘천,2018년 11월 13일,2722,1622
춘천,2018년 11월 14일,2578,1840
춘천,2018년 11월 15일,2951,1918
춘천,2018년 11월 16일,3384,2580
춘천,2018년 11월 17일,3130,3377
춘천,2018년 11월 18일,2979,3126
춘천,2018년 11월 19일,2645,1731
춘천,2018년 11월 20일,2644,1714
춘천,2018년 11월 21일,2413,1809
춘천,2018년 11월 22일,2610,1816
춘천,2018년 11월 23일,3179,2456
춘천,2018년 11월 24일,3183,3393
춘천,2018년 11월 25일,2525,2805
춘천,2018년 11월 26일,2401,1735
춘천,2018년 11월 27일,2387,1503
춘천,2018년 11월 28일,2403,1622
춘천,2018년 11월 29일,2678,1663
춘천,2018년 11월 30일,3174,2382
남춘천,2018년 12월 01일,4652,4319
남춘천,2018년 12월 02일,4266,3452
남춘천,2018년 12월 03일,3492,2267
남춘천,2018년 12월 04일,3558,2161
남춘천,2018년 12월 05일,3406,2291
남춘천,2018년 12월 06일,4092,2385
남춘천,2018년 12월 07일,4822,3141
남춘천,2018년 12월 08일,4185,3978
