,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,위도,경도,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,파워타입,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
52,동백중앙프라자상가,CU310026,04,02,경기도 용인시 기흥구 동백7로 83,null,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,G0,G004,N,,N,,N,
53,동백중앙프라자상가,CU310026,05,02,경기도 용인시 기흥구 동백7로 83,null,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,G0,G004,N,,N,,N,
54,삼성래미안1차아파트,CU310030,01,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,H0,H001,N,,N,,N,
55,삼성래미안1차아파트,CU310030,02,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20220929150310,20220915105109,20220915105110,20220915105109,,7,단독,41,41460,H0,H001,N,,N,,N,
56,삼성래미안1차아파트,CU310030,03,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,H0,H001,N,,N,,N,
57,삼성래미안1차아파트,CU310030,04,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,H0,H001,N,,N,,N,
58,삼성래미안1차아파트,CU310030,05,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007113810,20221007110502,20220929154549,20221007110502,,7,단독,41,41460,H0,H001,N,,N,,N,
59,삼성래미안1차아파트,CU310030,06,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007113310,20220929154526,20220929154553,20220929154526,,7,단독,41,41460,H0,H001,N,,N,,N,
60,삼성래미안1차아파트,CU310030,07,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007114810,20220929153429,20220929153538,20220929153429,,7,단독,41,41460,H0,H001,N,,N,,N,
61,삼성래미안1차아파트,CU310030,08,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007114310,20220929153618,20220929153641,20220929153618,,7,단독,41,41460,H0,H001,N,,N,,N,
62,삼성래미안1차아파트,CU310030,09,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007121310,20221007114125,20221007112958,20221007114125,,7,단독,41,41460,H0,H001,N,,N,,N,
63,삼성래미안1차아파트,CU310030,10,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007121810,20221007112636,20221007112850,20221007112636,,7,단독,41,41460,H0,H001,N,,N,,N,
64,삼성래미안1차아파트,CU310030,11,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007122310,20220929145854,20220929145941,20220929145854,,7,단독,41,41460,H0,H001,N,,N,,N,
65,삼성래미안1차아파트,CU310030,12,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007122310,20221007115007,20220929145937,20221007115007,,7,단독,41,41460,H0,H001,N,,N,,N,
66,삼성래미안1차아파트,CU310030,13,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007133810,20220929145015,20220929145111,20220929145015,,7,단독,41,41460,H0,H001,N,,N,,N,
